s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
2.399360618252391220e+00,-7.251733597938303433e+01,-6.175030713326996334e+01,1.724625110317330012e+00,1.318675455531669594e-01,6.244616423073741984e+00,-5.953195330935898255e+00
2.599307336440090488e+00,-7.271393856414660206e+01,-6.178377623300462318e+01,1.756003990581033847e+00,1.852008825034612838e-01,6.050999135103256599e+00,-4.552512464437217687e+00
2.799254054627789756e+00,-7.291041590493686897e+01,-6.182473979745396520e+01,1.798317636223258909e+00,2.340982079871474775e-01,5.898649903111281567e+00,-4.211000774194596730e+00
2.999200772815489024e+00,-7.310259866375669446e+01,-6.187413278965487251e+01,1.847068242118389492e+00,2.552987554859408870e-01,5.754139302215630636e+00,-4.101483746076157288e+00
3.199147491003188293e+00,-7.329448515857119162e+01,-6.193402081284244076e+01,1.900109046313463779e+00,2.710393552099133463e-01,5.609809504773433098e+00,-4.090344659967310115e+00
3.399094209190887561e+00,-7.348134695030175578e+01,-6.200366680858569879e+01,1.955483739695436540e+00,2.851733466827083840e-01,5.462074761280026891e+00,-4.074399429284262908e+00
3.599040927378586829e+00,-7.366500128010254400e+01,-6.208432903824943594e+01,2.014161544624846201e+00,2.957216092668221163e-01,5.310831865995177203e+00,-4.189015674859197347e+00
3.798987645566286098e+00,-7.384311288292258268e+01,-6.217550111773288535e+01,2.073864332169275571e+00,3.022417201388873931e-01,5.150706285124396544e+00,-4.456028964094709721e+00
3.998934363753985366e+00,-7.401589857835698183e+01,-6.227758548554934492e+01,2.135023283615948841e+00,3.042686645809375423e-01,4.974719941924351296e+00,-4.916158672435306798e+00
4.198881081941684634e+00,-7.418132214539799918e+01,-6.238948702285559733e+01,2.196310299684114398e+00,3.116347457537609889e-01,4.773038750659054585e+00,-5.283150852017372223e+00
4.398827800129383903e+00,-7.434120485487154895e+01,-6.251283954650302377e+01,2.259554728948623747e+00,3.142870383319904537e-01,4.546339358889754934e+00,-5.868585631889872367e+00
4.598774518317083171e+00,-7.449028405770577876e+01,-6.264369247077937075e+01,2.323422250967203340e+00,3.315747526496353736e-01,4.280466410473323435e+00,-6.228806321646323418e+00
4.798721236504782439e+00,-7.463390888186759753e+01,-6.278770684314885386e+01,2.392370223902250626e+00,3.524556985931434072e-01,3.978886015797690856e+00,-6.688179404098685943e+00
4.998667954692481707e+00,-7.476571616942577236e+01,-6.294043860807032331e+01,2.468310711864812212e+00,3.955431081635272794e-01,3.627254455054157667e+00,-7.021031842119656474e+00
5.198614672880180976e+00,-7.488158100927039129e+01,-6.309850487997983493e+01,2.552559644315499643e+00,4.762673533245577184e-01,3.217034400105772907e+00,-7.194604885503300018e+00
5.398561391067880244e+00,-7.498326201475305197e+01,-6.326844649497684259e+01,2.656305952405188631e+00,6.016105872973301905e-01,2.733538926087712539e+00,-1.486522062603702066e-01
5.598508109255579512e+00,-7.507594430085491410e+01,-6.344564184735185819e+01,2.566744988511679093e+00,-1.618823677655016446e+00,2.722643939050885198e+00,-1.486522062603724270e-01
5.798454827443278781e+00,-7.519262541531634270e+01,-6.360339180451154562e+01,2.528717900878605374e+00,6.874533406408980252e-01,2.711705178898376367e+00,5.152539873450581176e+00
5.998401545630978049e+00,-7.529504934518401171e+01,-6.377369179833058865e+01,2.671238957062191055e+00,6.771112297152759307e-01,3.068193581461197361e+00,5.111220350535030654e+00
6.198348263818677317e+00,-7.537481073314758362e+01,-6.395925703210107827e+01,2.796960033277593904e+00,5.761721111555936359e-01,3.384930623124647209e+00,5.070232179344242418e+00
6.398294982006376586e+00,-7.543205539118893910e+01,-6.415137560551826823e+01,2.905071446305665717e+00,5.156931131903179644e-01,3.672234727354190653e+00,4.775292293123940546e+00
6.598241700194075854e+00,-7.546891547487096830e+01,-6.434645717943730858e+01,3.003144770313372014e+00,4.749024692538819092e-01,3.923635551064904359e+00,4.380194830998747513e+00
6.798188418381775122e+00,-7.548724512766614225e+01,-6.454680559964806719e+01,3.096885440058500194e+00,4.527344145287345301e-01,4.140836521832544470e+00,3.893329623341178269e+00
6.998135136569474390e+00,-7.548723417117199119e+01,-6.474771727214221073e+01,-3.097293924494179951e+00,4.371496495465516663e-01,4.324747861154714990e+00,3.448726917311654816e+00
7.198081854757173659e+00,-7.546986355497043064e+01,-6.494636747813355271e+01,-3.012277578364277009e+00,4.146862926673184901e-01,4.481357754146211292e+00,3.269309330065071961e+00
7.398028572944872927e+00,-7.543584724590475332e+01,-6.514405611215238423e+01,-2.930683900382655693e+00,3.945239281935559172e-01,4.624926233273375153e+00,3.132213096205762159e+00
7.597975291132572195e+00,-7.538652691259788696e+01,-6.533781745346207970e+01,-2.855019882801106412e+00,3.640421175831261569e-01,4.758412983518979900e+00,3.303117781567738831e+00
7.797922009320271464e+00,-7.532317281860007085e+01,-6.552760923467025123e+01,-2.784686921284520444e+00,3.380381842917491442e-01,4.895241489665837165e+00,3.418910161600327680e+00
7.997868727507970732e+00,-7.524718434172106640e+01,-6.571255250625385713e+01,-2.719640985709649961e+00,3.130404690143057667e-01,5.032950325140009618e+00,3.562534190297967918e+00
8.197815445695670888e+00,-7.515975701398002684e+01,-6.589239276691515101e+01,-2.659298823829765901e+00,2.905816089684128412e-01,5.172545119657249835e+00,3.688889027137716603e+00
8.397762163883369269e+00,-7.506204245810738485e+01,-6.606682745743381702e+01,-2.603384003574450212e+00,2.680002176816662085e-01,5.313227411315992299e+00,3.868133177462341088e+00
8.597708882071067649e+00,-7.495514514083862423e+01,-6.623575159910777188e+01,-2.552199452920059120e+00,2.441990449838022381e-01,5.456851344232563683e+00,4.131292806790744621e+00
8.797655600258767805e+00,-7.484006834085732862e+01,-6.639935739844679574e+01,-2.505883577302781884e+00,2.182439506340495272e-01,5.606184394954668804e+00,4.510477864159668115e+00
8.997602318446467962e+00,-7.471806675760561234e+01,-6.655765158929104075e+01,-2.464920364053301505e+00,1.911854193403489666e-01,5.764808232979413916e+00,4.633562554217355078e+00
9.197549036634166342e+00,-7.458999920532151862e+01,-6.671132086202777600e+01,-2.429732451730115095e+00,1.606111727766987574e-01,5.923339025878359365e+00,4.596404841935281205e+00
9.397495754821864722e+00,-7.445708838848706534e+01,-6.686077230204963939e+01,-2.400767520465285632e+00,1.280865800036656565e-01,6.076513584507781118e+00,4.559545106763882139e+00
9.597442473009564878e+00,-7.432056669695333539e+01,-6.700659425763187471e+01,-2.378628962472689068e+00,9.347561495337196324e-02,6.224736902372664638e+00,4.522980959149175639e+00
9.797389191197265035e+00,-7.418099889693809246e+01,-6.715019702557273718e+01,-2.363435750158381587e+00,5.814084260089207035e-02,6.368363989454018714e+00,4.486710028699680386e+00
9.997335909384963415e+00,-7.404001277475084919e+01,-6.729191878123468484e+01,-2.355194689087605209e+00,2.835354854869579291e-02,6.507708182883694015e+00,4.450729964032646535e+00
1.019728262757266180e+01,-7.389822104531654645e+01,-6.743279696030175785e+01,-2.351338408994610329e+00,1.010471724427716191e-02,6.643047756359075962e+00,4.415038432621645192e+00
1.039722934576036195e+01,-7.375597184946107632e+01,-6.757347480946779683e+01,-2.349968001327351175e+00,7.360528518736324591e-03,6.774631236002286450e+00,4.379633120645372912e+00
1.059717606394806211e+01,-7.361380304047753498e+01,-6.771365799696481247e+01,-2.348298711526348725e+00,8.718180120880011583e-03,6.902681719628702695e+00,4.344511732837632145e+00
1.079712278213576049e+01,-7.347118445501108397e+01,-6.785381408068573705e+01,-2.346733944887936740e+00,6.920002666453007115e-03,7.027400418982395536e+00,4.309671992338634183e+00
1.099706950032345887e+01,-7.332837214379327406e+01,-6.799376834630257349e+01,-2.345460883902993565e+00,6.199644511543470592e-03,7.148969589484980069e+00,4.275111640547167191e+00
1.119701621851115902e+01,-7.318543585079468983e+01,-6.813349650234937371e+01,-2.344234190691983244e+00,6.035941533875386136e-03,7.267554972355414478e+00,4.240828436974446447e+00
1.139696293669885918e+01,-7.304224750382881837e+01,-6.827313626111907752e+01,-2.343080402073375978e+00,5.499005521689392592e-03,7.383307844926157770e+00,4.206820159098626277e+00
1.159690965488655756e+01,-7.289894524032864354e+01,-6.841257982620859934e+01,-2.342031565147746797e+00,5.022007941840546733e-03,7.496366753473538758e+00,4.173084602220917816e+00
1.179685637307425594e+01,-7.275556685366439069e+01,-6.855181741903011527e+01,-2.341070376593947788e+00,4.595525295224394020e-03,7.606858986759960750e+00,4.139619579322506127e+00
1.199680309126195610e+01,-7.261194207033106807e+01,-6.869103826296779403e+01,-2.340195807261850725e+00,4.147971328408852493e-03,7.714901836271990554e+00,4.106422920922872422e+00
1.219674980944965625e+01,-7.246826172544649580e+01,-6.883008197316192422e+01,-2.339411150548749596e+00,3.705187300296267430e-03,7.820603679791700458e+00,4.073492474939063968e+00
1.239669652763735463e+01,-7.232453206031578929e+01,-6.896896739741958982e+01,-2.338714202617508953e+00,3.268087924363215126e-03,7.924064917718948386e+00,4.040826106546319352e+00
1.259664324582505301e+01,-7.218059876429624921e+01,-6.910786777880483100e+01,-2.338103738792970177e+00,2.835226086140775221e-03,8.025378785936924331e+00,4.008421698039456693e+00
1.279658996401275317e+01,-7.203665155596530667e+01,-6.924662405550880351e+01,-2.337580262111933038e+00,2.403367013808711556e-03,8.124632064594502268e+00,3.976277148695794406e+00
1.299653668220045333e+01,-7.189267107791098965e+01,-6.938527900938278492e+01,-2.337142734230263308e+00,1.973623950735613804e-03,8.221905698681423402e+00,3.944390374638831354e+00
1.319648340038815171e+01,-7.174854809349496065e+01,-6.952396157103527230e+01,-2.336790484391887190e+00,1.548667049803603398e-03,8.317275343484213934e+00,3.912759308703278371e+00
1.339643011857585009e+01,-7.160444002479583503e+01,-6.966254386368771634e+01,-2.336523429162170817e+00,1.124424202000318118e-03,8.410811845773130457e+00,3.881381900300891807e+00
1.359637683676355024e+01,-7.146032027274588927e+01,-6.980107504704295707e+01,-2.336340818443836120e+00,7.019484926050936335e-04,8.502581669763261019e+00,3.850256115287564285e+00
1.379632355495125040e+01,-7.131611170428197966e+01,-6.993965263074053951e+01,-2.336242322797742244e+00,2.832097806423250117e-04,8.592647275424608821e+00,3.819379935831695327e+00
1.399627027313894878e+01,-7.117194661776927944e+01,-7.007817273650827872e+01,-2.336227629630442060e+00,-1.349854225230211105e-04,8.681067455516339848e+00,3.788751360282887948e+00
1.419621699132664716e+01,-7.102779633799383419e+01,-7.021668609489806556e+01,-2.336296215726925141e+00,-5.516864713072461767e-04,8.767897636734842237e+00,3.758368403042917638e+00
1.439616370951434732e+01,-7.088360505061069716e+01,-7.035526942780168724e+01,-2.336447969376251432e+00,-9.656766690570950471e-04,8.853190149551627641e+00,3.728229094436087632e+00
1.459611042770204747e+01,-7.073948563216755758e+01,-7.049383723975324756e+01,-2.336682477395418012e+00,-1.379333810204351257e-03,8.936994470642060762e+00,3.698331480582467634e+00
1.479605714588974585e+01,-7.059541127069920208e+01,-7.063243820731545952e+01,-2.336999431326856058e+00,-1.791898202238187887e-03,9.019357441243373685e+00,3.668673623270468642e+00
1.499600386407744423e+01,-7.045133942335949939e+01,-7.077113616652246719e+01,-2.337398877819826026e+00,-2.202693090067601740e-03,9.100323464309475696e+00,3.639253599831615560e+00
1.519595058226514439e+01,-7.030736782656263983e+01,-7.090985985308235229e+01,-2.337880378924378277e+00,-2.613405532470555129e-03,9.179934682934286272e+00,3.610069503015870929e+00
